price;title;category_id;base_price;initial_quantity;condition;date_created;city;state;country
149999;Chromecast Google Ga01919-us 4k 8gb 2gb Ram Bluetooth;MLA352001;149999;34;new;2024-08-19T19:25:35.595Z;Escobar;Buenos Aires;Argentina
205000;Mi Tv Box S 2da Generación 4k Mdz-28-aa Google Tv Negro;MLA352001;205000;13;new;2025-01-23T21:39:56.819Z;San Javier;Misiones;Argentina
50000;Adaptador Smart Tv Box 4k;MLA352001;50000;211;new;2025-02-01T17:17:43.130Z;Berazategui;Buenos Aires;Argentina
83399;Watch Onn 4k Tv Box Solucionado Ubicacion Bloqueo Region;MLA352001;83399;5;new;2024-12-10T12:41:30.730Z;San Nicolás;Capital Federal;Argentina
149999;Chromecast Google Tv De Voz 4ª Generación 4k 8gb;MLA352001;149999;6;new;2024-05-02T19:42:33.000Z;Rosario;Santa Fe;Argentina
182031.99;Google Tv Streamer 4k, 32gb;MLA352001;182031.99;32;new;2025-01-22T21:32:34.124Z;Doral;Florida;United States of America
144999;Google Chromecast Google Tv De Voz 4k 8gb Control Sky;MLA352001;144999;22;new;2024-08-04T16:59:13.094Z;San Cristóbal;Capital Federal;Argentina
100000;Roku Express 3960 Hd Reproductor De Streaming Control Remoto;MLA352001;100000;2;new;2024-10-22T19:17:49.880Z;ALMAGRO;Capital Federal;Argentina
155000;Chromecast  Google Tv 4 Generación 4k 8gb Con Cargador;MLA352001;155000;206;new;2024-08-08T19:29:17.373Z;Villa Crespo;Capital Federal;Argentina
91590;Xiaomi Mi Tv Stick Full Hd 8gb Con Control Color Negro;MLA352001;91590;4;new;2025-02-12T20:07:47.786Z;San Nicolás;Capital Federal;Argentina
154999;Google Chromecast 4 Google Tv Box 4k 8gb 2gb 4ta Gen;MLA352001;154999;51;new;2023-08-24T13:45:04.000Z;San Cristobal;Capital Federal;Argentina
90000;Tv Box Watch Onn 4k Chromecast Solucionado Ubicación;MLA352001;90000;2595;new;2024-11-12T12:13:53.636Z;Martínez;Buenos Aires;Argentina
186000;Chromecast Google Tv De Voz 4 Generación 4k 8gb Con Cargador;MLA352001;186000;101;new;2024-12-19T17:03:02.437Z;Villa Crespo;Capital Federal;Argentina
149999;Google Chromecast 4 4ta Generac Streaming Tv Box 4k 8gb 2gb;MLA352001;149999;9;new;2025-03-03T17:23:35.352Z;San Cristóbal;Capital Federal;Argentina
148919;Convertidor Smart Xiaomi Mi Tv Stick Amazon Disney Netflix;MLA352001;148919;75;new;2022-08-29T19:28:59.000Z;Capital;Córdoba;Argentina
